threshold,close,min_size,dice,pq,sq,rq
0.6,0,128,0.6711834487784266,0.38903387391638794,0.6226177945034004,0.5842331747910485
0.6,0,256,0.6705422994878596,0.39955264165385235,0.6230011494277918,0.5996868323969126
0.6,0,512,0.6620045503222807,0.404636580360721,0.6236829521431312,0.6062914061654663
0.6,0,1024,0.6183849166959925,0.3521489135298161,0.6054413178302998,0.5278447914430896
0.6,1,0,0.6710271835312241,0.3487173003966531,0.6225901437895972,0.5231841286657789
0.6,1,128,0.6711683290205385,0.38892311642281596,0.6225901437895972,0.5841535108369079
0.6,1,256,0.6704991287538867,0.399251069636478,0.6229706971394293,0.5993170099348194
0.6,1,512,0.66198719621405,0.4039121271062604,0.6236322501593019,0.605347010963244
0.6,1,1024,0.6209926160600806,0.354010866827732,0.6097802612522547,0.5303102732396058
0.6,2,0,0.6710269151476852,0.35048276440878984,0.622521318032125,0.5259897672148417
0.6,2,128,0.6711467919102511,0.3906148397998036,0.622521318032125,0.58684346320278
0.6,2,256,0.6704807472914103,0.4009554136289826,0.6229046917145509,0.6020206052873595
0.6,2,512,0.6627316408626125,0.40481794342808775,0.6235620486654209,0.6068412429011241
0.6,2,1024,0.6220620081456266,0.3547866004093241,0.6096266457105043,0.5316416338547441
0.65,0,0,0.6711664613023287,0.3503011462084604,0.6228839817206991,0.525234674473269
0.65,0,128,0.6714041415643115,0.39167760420392667,0.6228839817206991,0.5877044710415801
0.65,0,256,0.6710132388614359,0.4012386086759398,0.623267190663046,0.6017764467680629
0.65,0,512,0.6520787364524487,0.3967986943177559,0.6157571225063916,0.5944888220988531
0.65,0,1024,0.616676701678371,0.35146553645219614,0.6097494028636433,0.5261801020388974
0.65,1,0,0.6712216113017598,0.3513860655989583,0.6228555190586476,0.5268605640299044
0.65,1,128,0.6713287125645774,0.3917117133553156,0.6228555190586476,0.5878453557703435
0.65,1,256,0.6708157122024748,0.4009728983427196,0.6232384544160743,0.6014536927223881
0.65,1,512,0.6520544890377642,0.3967388206386093,0.615725478450404,0.5944888220988531
0.65,1,1024,0.6193391173152542,0.3535126386650428,0.6140766764235435,0.5289453092514049
0.65,2,0,0.671239010383943,0.35293941906657483,0.6226405054077027,0.5294311349052709
0.65,2,128,0.6713309093398965,0.39349079363328904,0.6226405054077027,0.5907942344492187
0.65,2,256,0.6707501605066878,0.40248539774571335,0.6230241752433293,0.6039935722212683
0.65,2,512,0.6526677876637721,0.39728365811126126,0.6153901323916917,0.5956169474724072
0.65,2,1024,0.6202804969368154,0.3541686394201632,0.6136871636135061,0.5302766698665433
0.7,0,0,0.6714060020220189,0.35500354642174897,0.6257601614673298,0.5326719864957349
0.7,0,128,0.6716566230879742,0.3945207788830304,0.6257601614673298,0.5924127548603911
0.7,0,256,0.6711706131661178,0.4045366826409673,0.6261768128276626,0.6070350637531052
0.7,0,512,0.6525652664667378,0.399160128918616,0.6188516614801236,0.5986545676652832
0.7,0,1024,0.6135763148868313,0.3515888455338186,0.6144411891596978,0.5259975150900422
0.7,1,0,0.6714377738041725,0.35608326554362674,0.6256669070306905,0.5343251612292652
0.7,1,128,0.6716865690524338,0.39562032222209137,0.6256669070306905,0.5941136302771927
0.7,1,256,0.6712370151719355,0.40493161125320576,0.6260722977799891,0.6077146254335503
0.7,1,512,0.6526217923581403,0.3995683694753519,0.6187376350566888,0.5993757331159291
0.7,1,1024,0.6139776023777836,0.3517117244168261,0.6143453013996403,0.5263115556552864
0.7,2,0,0.671454001990614,0.3582094897828989,0.62526271295025,0.5378622172463544
0.7,2,128,0.6716058133851774,0.3970823419751606,0.62526271295025,0.596791576814666
0.7,2,256,0.6711439550274056,0.4063046436638461,0.6256693680407502,0.6102545049324304
0.7,2,512,0.6532067781642913,0.39990142869845546,0.6182470240373206,0.6003927197052115
0.7,2,1024,0.6149204083110426,0.3523657081607716,0.6139673150516264,0.5276429162704246
0.75,0,0,0.6708507055283182,0.3532803304073008,0.6265994421435385,0.5297787876976353
0.75,0,128,0.6709787798086824,0.39499588602751695,0.6265994421435385,0.5923486958976006
0.75,0,256,0.6705005943071721,0.4046278297454969,0.6268272773486256,0.6064019862352373
0.75,0,512,0.6506617820576895,0.3982822807372468,0.6189673880061374,0.597070483864926
0.75,0,1024,0.6083059665944255,0.34794389442366336,0.6108399299815326,0.5198274319032815
0.75,1,0,0.6708687540708443,0.3531410457398417,0.6271274639253047,0.529238153580137
0.75,1,128,0.6709833474222062,0.39457047469011286,0.6271274639253047,0.5913728837775186
0.75,1,256,0.6705361981578847,0.4040540943173085,0.6273535096727555,0.6052185545192611
0.75,1,512,0.6506910689023798,0.39770730939577725,0.6194905628724129,0.5958870521489497
0.75,1,1024,0.6083511241369617,0.34738286622403897,0.6113858180576526,0.518644000187305
0.75,2,0,0.6708844765135915,0.3570230865254464,0.6264371184195671,0.5355053949582683
0.75,2,128,0.6710147655971289,0.39628690038726344,0.6264371184195671,0.5945073892114071
0.75,2,256,0.6705637279009085,0.4057813768495748,0.6266595808470898,0.6083763237563604
0.75,2,512,0.6513968656247825,0.3987180177201728,0.6187372069847525,0.5980153162027215
0.75,2,1024,0.6100888428571012,0.34962290227445314,0.6107343268161953,0.5226005533352726
0.8,0,0,0.6683595694257777,0.34463317101186813,0.6248160651227025,0.5172823341365831
0.8,0,128,0.6685324563780708,0.3905632735127728,0.6248160651227025,0.5863433680889416
0.8,0,256,0.6677614320369697,0.40081258774511697,0.6255276884277169,0.6012207590039131
0.8,0,512,0.6471769892509658,0.39282835159756446,0.6178291070004326,0.5891953872330837
0.8,0,1024,0.5973797205567016,0.33825818192684254,0.6066256602546295,0.5044369019249411
0.8,1,0,0.6683804886669602,0.34504480383478725,0.6247078085074195,0.5178624900239265
0.8,1,128,0.6685445221934531,0.3910329757020542,0.6247078085074195,0.5870023868898089
0.8,1,256,0.6677410514642356,0.4004574627885083,0.6254155469337314,0.600667106678988
0.8,1,512,0.6470937021147061,0.3923849250344278,0.6175702153372611,0.5884992508722394
0.8,1,1024,0.5973190944653335,0.33767522806298794,0.6063593885808903,0.5035265697937131
0.8,2,0,0.6684636514639979,0.34478545389246046,0.6247992864001146,0.5173976213679613
0.8,2,128,0.668691016173858,0.39086087839283346,0.6247992864001146,0.5866907943854227
0.8,2,256,0.6678375387011165,0.4001630514930991,0.6254291451479171,0.6001845764293221
0.8,2,512,0.647237853541555,0.3922702333909686,0.6174968748915047,0.588361441701208
0.8,2,1024,0.5974170577378786,0.33716945234379936,0.6065260487923302,0.5026162376624851
0.85,0,0,0.6647261821238758,0.3401822057908525,0.6219158805056937,0.5123031934108434
0.85,0,128,0.664827693832555,0.3835502578431022,0.6219158805056937,0.5780283593693427
0.85,0,256,0.6638573322415652,0.3937079412968213,0.6224086780502369,0.5930091747530807
0.85,0,512,0.6390791891844867,0.38068329845795507,0.6174291458930914,0.5719055855492434
0.85,0,1024,0.5867135607318132,0.3262975067689636,0.5979389005323313,0.48683311154238257
0.85,1,0,0.6647663173126638,0.34298854363029463,0.6219398165069755,0.5167855420047827
0.85,1,128,0.664895915707419,0.38444330998419857,0.6219398165069755,0.5792835142125571
0.85,1,256,0.6639890143726604,0.39447097757730226,0.6224209231892882,0.5940850217871656
0.85,1,512,0.6392091589780583,0.38144767568793597,0.61743978185304,0.5729814325833282
0.85,1,1024,0.5867869639687331,0.3263765260226148,0.5980546749350685,0.48683311154238257
0.85,2,0,0.6648925524727151,0.3436976889111812,0.6217930453465647,0.5177748464244901
0.85,2,128,0.6650081810677634,0.38495260265426035,0.6217930453465647,0.579930619325768
0.85,2,256,0.6640673741958623,0.39411287455152255,0.6222663132357786,0.5935313694622405
0.85,2,512,0.6398206814472113,0.3815488288890154,0.6170063763917971,0.5731459738927857
0.85,2,1024,0.5868536501076125,0.32578526504745275,0.5978005850195758,0.4859227794111546
0.9,0,0,0.660882998194438,0.32850646351309026,0.6146279293093547,0.4966055988327623
0.9,0,128,0.6606921375981013,0.3759076444700285,0.6147059196578786,0.5683739698572278
0.9,0,256,0.6574518079485647,0.3868213181112985,0.615261665332492,0.5847345558324867
