epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,3672.04,1.34154,1.6459,1.25897,1.331,0,0.57251,0.54356,0.53909,0.30022,0.57159,0.54479,0.55113,0.19758,1.44103,1.6305,1.55503,1.4607,0,0.0011486,0.0011486,0.0011486
45,3749.13,1.35658,1.60924,1.25839,1.32439,0,0.58783,0.62029,0.59984,0.33707,0.60246,0.61378,0.61306,0.22556,1.39144,1.60115,1.32662,1.41692,0,0.0011288,0.0011288,0.0011288
46,3825.81,1.32869,1.58158,1.24767,1.33019,0,0.58869,0.60675,0.58636,0.33378,0.60894,0.58257,0.59384,0.22254,1.39278,1.57105,1.38709,1.40985,0,0.001109,0.001109,0.001109
47,3902.99,1.3019,1.58991,1.22543,1.30885,0,0.57952,0.62549,0.60925,0.35421,0.59265,0.62159,0.6204,0.23519,1.37228,1.57392,1.26984,1.42355,0,0.0010892,0.0010892,0.0010892
48,3980.66,1.3193,1.60533,1.23338,1.32801,0,0.58096,0.51886,0.53389,0.29852,0.58852,0.51891,0.538,0.18999,1.42542,1.62767,1.58499,1.46667,0,0.0010694,0.0010694,0.0010694
49,4057.69,1.30421,1.61664,1.21631,1.30843,0,0.59929,0.64109,0.62948,0.35998,0.61805,0.62809,0.62927,0.23788,1.37921,1.5759,1.26724,1.42877,0,0.0010496,0.0010496,0.0010496
50,4135.26,1.31133,1.59957,1.25162,1.30332,0,0.57857,0.59271,0.58382,0.3372,0.58011,0.58518,0.59668,0.22093,1.38929,1.58911,1.42928,1.44681,0,0.0010298,0.0010298,0.0010298
51,4212.38,1.30268,1.59542,1.22612,1.29453,0,0.54725,0.60858,0.57203,0.32786,0.58316,0.60338,0.58901,0.21937,1.37438,1.59594,1.37737,1.4086,0,0.00101,0.00101,0.00101
52,4289.55,1.30506,1.59377,1.21771,1.30267,0,0.58408,0.59428,0.58086,0.33872,0.60153,0.57347,0.5912,0.21436,1.35574,1.6103,1.3648,1.39987,0,0.0009902,0.0009902,0.0009902
53,4366.67,1.29095,1.56511,1.21077,1.29606,0,0.58906,0.64369,0.61654,0.35652,0.62526,0.61378,0.62462,0.23285,1.35358,1.58261,1.27018,1.41372,0,0.0009704,0.0009704,0.0009704
54,4443.81,1.28605,1.57555,1.19376,1.29977,0,0.55823,0.57347,0.56504,0.31962,0.61895,0.52796,0.57038,0.19924,1.4044,1.61541,1.48895,1.45081,0,0.0009506,0.0009506,0.0009506
55,4521.04,1.30696,1.57645,1.18075,1.30133,0,0.61861,0.63276,0.62766,0.35793,0.61782,0.62159,0.62487,0.22907,1.34434,1.56991,1.23483,1.4165,0,0.0009308,0.0009308,0.0009308
56,4598.15,1.2826,1.54534,1.15235,1.30444,0,0.60443,0.62289,0.60934,0.35215,0.6252,0.62679,0.62829,0.22728,1.36659,1.6012,1.31799,1.42685,0,0.000911,0.000911,0.000911
57,4675.23,1.26617,1.57515,1.15585,1.28519,0,0.61817,0.63979,0.63989,0.37652,0.64618,0.63849,0.65348,0.24991,1.33065,1.55808,1.23257,1.39377,0,0.0008912,0.0008912,0.0008912
58,4752.59,1.27583,1.57841,1.17582,1.28554,0,0.57599,0.59688,0.59149,0.33024,0.59669,0.58908,0.58522,0.2006,1.38862,1.59789,1.3258,1.42604,0,0.0008714,0.0008714,0.0008714
59,4829.56,1.28818,1.56341,1.1691,1.30283,0,0.595,0.59948,0.61395,0.34979,0.62134,0.60078,0.62685,0.21872,1.36926,1.61054,1.27267,1.41968,0,0.0008516,0.0008516,0.0008516
60,4906.5,1.25232,1.56495,1.14616,1.27935,0,0.5914,0.61508,0.60615,0.34936,0.61593,0.61118,0.62261,0.22344,1.38403,1.57765,1.34934,1.43,0,0.0008318,0.0008318,0.0008318
61,4983.55,1.23639,1.54007,1.11365,1.26664,0,0.6158,0.66072,0.65309,0.38153,0.62516,0.66147,0.6597,0.24521,1.3443,1.56891,1.20477,1.422,0,0.000812,0.000812,0.000812
62,5061.11,1.24042,1.56615,1.14195,1.26535,0,0.61565,0.62679,0.64157,0.37362,0.6494,0.61421,0.65168,0.24112,1.34661,1.54752,1.23188,1.40374,0,0.0007922,0.0007922,0.0007922
63,5138.12,1.23808,1.56797,1.15741,1.27859,0,0.60524,0.64759,0.63995,0.36629,0.60416,0.63849,0.63461,0.23251,1.33793,1.55825,1.22975,1.41096,0,0.0007724,0.0007724,0.0007724
64,5215.26,1.24131,1.55452,1.12126,1.26209,0,0.57341,0.57682,0.57786,0.32824,0.59243,0.5784,0.59487,0.21669,1.38629,1.63684,1.43647,1.43988,0,0.0007526,0.0007526,0.0007526
65,5292.33,1.24635,1.57582,1.12121,1.27543,0,0.58784,0.59688,0.5892,0.33588,0.60159,0.6087,0.60292,0.21555,1.37722,1.57621,1.33856,1.43019,0,0.0007328,0.0007328,0.0007328
66,5369.53,1.2236,1.53173,1.13971,1.26674,0,0.65998,0.6285,0.64295,0.37764,0.6663,0.62159,0.64779,0.23807,1.32374,1.55347,1.19023,1.39806,0,0.000713,0.000713,0.000713
67,5446.77,1.20614,1.55021,1.10477,1.24462,0,0.54073,0.50983,0.52273,0.28912,0.53896,0.51078,0.52353,0.18853,1.47152,1.67001,1.6386,1.51437,0,0.0006932,0.0006932,0.0006932
68,5524.02,1.22092,1.52138,1.09036,1.26093,0,0.62696,0.60858,0.63913,0.37942,0.63581,0.61248,0.64862,0.24292,1.33741,1.56081,1.22023,1.4059,0,0.0006734,0.0006734,0.0006734
